paper,target_canonical,target_raw,type,confidence,section,evidence,ref,doi_or_url
26drr,"DEHB (Awad, Mallik, Hutter)","DEHB (Awad, Mallik & Hutter)",steppingstone,high,3.4 Experimental Rig,"DEHB, with 3000 evaluations, will serve as our exemplar heavyweight method.","[31] N. Awad, N. Mallik, F. Hutter, Dehb: Evolutionary hyberband for scalable, robust and efficient hyperparameter optimization, IJCAI-21",https://doi.org/10.24963/ijcai.2021/296
26drr,Random search baseline (Bergstra & Bengio; Arcuri & Briand),Random search (Bergstra & Bengio),steppingstone,high,3.4 Experimental Rig,"Random search, since it is good practice to compare stochastic methods with a completely random baseline","[78] J. Bergstra and Y. Bengio, Random search for hyper-parameter optimization, JMLR vol. 13, 2012",
26drr,Intrinsic dimensionality (Agrawal et al.),"Agrawal threshold I<=4 (Agrawal et al., TSE 2021)",steppingstone,high,1 Introduction; 2.4; 4.1,We demonstrate that our DRR rule is a more accurate diagnostic than the I <= 4 intrinsic dimensionality threshold proposed by Agrawal et al.,"[34] A. Agrawal, X. Yang, R. Agrawal, R. Yedida, X. Shen, T. Menzies, Simpler hyperparameter optimization for software analytics: why, how, when, TSE 2021",
26drr,Intrinsic dimensionality (Agrawal et al.),Fractal intrinsic-dimensionality algorithm (Agrawal et al.),methodology,high,2.2 Calculating Intrinsic Dimensionality,"To find the intrinsic dimensions, Agrawal et al. [34] use the fractal-based method of Algorithm 1.","[34] A. Agrawal et al., Simpler hyperparameter optimization for software analytics: why, how, when, TSE 2021",
26drr,EZR / LITE (Menzies group),LITE optimizer (Menzies & Lustosa),software,high,3.3.2; 3.4 Experimental Rig,"LITE, with 30 evaluations, will serve as our exemplar lightweight method. ... we use q = 1 since that was recommended by the original LITE paper.","[89] T. Menzies and A. Lustosa, Streamlining software reviews: Efficient predictive modeling with minimal examples, 2024",https://arxiv.org/abs/2405.12920
26drr,EZR / LITE (Menzies group),"ezr (LITE implementation, timm/ezr)",software,high,1 Introduction (contribution 5); FAQ4,"This package includes all 50 datasets, the implementations for both the simple (LITE) and complex (DEHB) optimizers","https://github.com/timm/ezr (footnote 2, 11)",https://github.com/timm/ezr
26drr,"DEHB (Awad, Mallik, Hutter)",DEHB package (automl/DEHB),software,high,1 Introduction (footnote 3); 5.3 Threats,DEHB was also ran with default settings as suggested in their previous work [31],https://github.com/automl/DEHB/ (footnote 3),https://github.com/automl/DEHB/
26drr,scikit-learn,scikit-learn random forests,software,high,3.3.1 Ensemble Learners,This study uses scikit-learn's random forest regressors and random forest classifiers [74].,"[74] F. Pedregosa et al., Scikit-learn: Machine learning in Python, JMLR vol. 12, 2011",
26drr,Scott-Knott ranking,Scott-Knott (Mittas & Angelis),statmethod,high,3.6 Statistical Methods,"To make comparisons among all algorithms on a single dataset, we implement the Scott-Knott analysis [94].","[94] N. Mittas and L. Angelis, Ranking and clustering software cost estimation models through a multiple comparisons algorithm, TSE 39(4), 2012",
26drr,Scott-Knott ranking,Scott-Knott split criterion (Xia et al.),statmethod,medium,3.6 Statistical Methods,The goal for such a split is to maximize the expected value of differences in the observed performances before and after division [95].,"[95] T. Xia, R. Krishna, J. Chen, G. Mathew, X. Shen, T. Menzies, Hyperparameter optimization for effort estimation, arXiv:1805.00336, 2018",
26drr,Cliff's delta effect size,Cliff's delta effect size (Macbeth et al.),statmethod,high,3.6 Statistical Methods,hypothesis test H is the Cliff's delta non-parametric effect size measure ... The division passes the hypothesis test if it is not a small effect (Delta >= 0.147).,"[96] G. Macbeth, E. Razumiejczyk, R. D. Ledesma, Cliff's delta calculator: A non-parametric effect size program for two groups of observations, 2011",
26drr,Cliff's delta effect size,Hess & Kromrey on Cliff's delta robustness,sanitycheck,medium,3.6 Statistical Methods,This hypothesis test and its effect size is supported by Hess and Kromery [97].,"[97] M. R. Hess and J. D. Kromrey, Robust confidence intervals for effect sizes: cohen's d and cliff's delta under non-normality, AERA 2004",
26drr,Distance-to-heaven (d2h) metric,d2h distance-to-heaven composite metric (Lustosa & Menzies TOSEM),methodology,high,3.5 Evaluation Metrics,"As per Lustosa et al.'s 2024 TOSEM paper [4], the above values are combined into a composite metric d2h (distance to heaven).","[4] A. Lustosa and T. Menzies, Learning from very little data: On the value of landscape analysis for predicting software project health, TOSEM 33(3), 2024",https://doi.org/10.1145/3630252
26drr,SPEA2 (Zitzler et al.),Zitzler multi-objective indicator (SPEA2),methodology,high,3.5 Evaluation Metrics,"To explain d2h, first we need to explain the Zitzler multi-objective indicator [93]. Zitzler favors example B over A if jumping from B to A loses more","[93] E. Zitzler, M. Laumanns, L. Thiele, Spea2: Improving the strength pareto evolutionary algorithm for multiobjective optimization, 2002",
26drr,Validation / effort-estimation metrics (Kohavi; Falessi; Sarro; Shepperd),PRED40 metric (Sarro et al.),methodology,high,3.5 Evaluation Metrics,PRED40 was recommended by Sarro [91] and is defined as: Pred40 = Count(MREs <= 40)/||MREs||,"[91] F. Sarro, A. Petrozziello, M. Harman, Multi-objective software effort estimation, ICSE 2016",https://doi.org/10.1145/2884781.2884830
26drr,Validation / effort-estimation metrics (Kohavi; Falessi; Sarro; Shepperd),Standardized Accuracy SA (Shepperd & MacDonell),methodology,high,3.5 Evaluation Metrics,Hence they propose Standardized Accuracy (SA) which baselines error measures of some algorithm against the errors seen when applying the simplest reasonable estimator,"[92] M. Shepperd and S. MacDonell, Evaluating prediction systems in software project estimation, IST 54(8), 2012",
26drr,Evaluation metrics as used in Reddy et al.,Evaluation metrics as used in Reddy et al.,methodology,low,3.5 Evaluation Metrics,"We selected these since these are widely seen in the literature [4], [90]-[92].","[90] P. Reddy, K. Sudha, P. R. Sree, S. Ramesh, Software effort estimation using radial basis and generalized regression neural networks, arXiv:1005.4021, 2010",
26drr,ACM SIGSOFT Empirical Standards (Ralph et al.),ACM SIGSOFT Empirical Standards (Optimization Studies),methodology,high,3.4 Experimental Rig,"Random search, since it is good practice to compare stochastic methods with a completely random baseline [footnote 9].",https://github.com/acmsigsoft/EmpiricalStandards/blob/master/docs/standards/OptimizationStudies.md#desirable (footnote 9),https://github.com/acmsigsoft/EmpiricalStandards/blob/master/docs/standards/OptimizationStudies.md#desirable
26drr,Empirical SE guidelines (Wohlin et al.),Wohlin & Runeson et al. empirical SE guidelines,methodology,medium,1 Introduction,The rest of this paper is structured via guidelines from Wohlin & Runeson et al. [52] on empirical software engineering.,"[52] C. Wohlin, P. Runeson, M. Host, M. C. Ohlsson, B. Regnell, A. Wesslen, Experimentation in software engineering, Springer 2012",
26drr,Random search baseline (Bergstra & Bengio; Arcuri & Briand),Bergstra et al. warning against grid search,sanitycheck,high,3.3.2 Hyperparameter Optimizers,"Bergstra et al. [68] warn strongly against such grid searches. ... For all these reasons, we seek alternatives to grid search.","[68] J. Bergstra, R. Bardenet, Y. Bengio, B. Kegl, Algorithms for hyper-parameter optimization, NeurIPS 24, 2011",
26drr,"DEHB (Awad, Mallik, Hutter)",BOHB vs Hyperopt result (Bergstra et al. Hyperopt paper) justifying DEHB choice,sanitycheck,medium,3.3.2 Hyperparameter Optimizers,DEHB out-performs its predecessor (BOHB [31]) (and BOHB is known to out-perform Hyperopt [32]).,"[32] J. Bergstra, B. Komer, C. Eliasmith, D. Yamins, D. D. Cox, Hyperopt: a python library for model selection and hyperparameter optimization, 2015",
26drr,SS-* config datasets / FLASH (Nair et al.),SS-A..SS-X and rs-6d-c3-obj2 configuration datasets (Peng et al. VEER),dataset,high,Table 1 (SE-data),"All of the models with this nomenclature in this repository, including the rs-6d-c3-obj2 dataset were obtained from the software configuration literature [1].","[1] K. Peng, C. Kaltenecker, N. Siegmund, S. Apel, T. Menzies, Veer: Disagreement-free multi-objective configuration, arXiv:2106.02716, 2021",https://arxiv.org/abs/2106.02716
26drr,"POM3 / XOMO / COC1000 process models (Chen, Nair, Menzies)",POM3 agile process model (Chen et al.),dataset,high,Table 1 (SE-data),"The POM3 model simulates the Boehm and Turner model of agile programming, and has been used before in the literature [2].","[2] J. Chen, V. Nair, R. Krishna, T. Menzies, 'Sampling' as a baseline optimizer for search-based software engineering, TSE 45(6), 2018",
